INSERT INTO clients (full_name, phone, email) VALUES
('Elizabeth Carter', '+1-209-639-1789', 'elizabeth.carter789@example.com'),
('David Carter', '+1-209-640-1790', 'david.carter790@example.com'),
('Barbara Carter', '+1-209-641-1791', 'barbara.carter791@example.com'),
('Richard Carter', '+1-209-642-1792', 'richard.carter792@example.com'),
('Susan Carter', '+1-209-643-1793', 'susan.carter793@example.com'),
('Joseph Carter', '+1-209-644-1794', 'joseph.carter794@example.com'),
('Jessica Carter', '+1-209-645-1795', 'jessica.carter795@example.com'),
('Thomas Carter', '+1-209-646-1796', 'thomas.carter796@example.com'),
('Sarah Carter', '+1-209-647-1797', 'sarah.carter797@example.com'),
('Charles Carter', '+1-209-648-1798', 'charles.carter798@example.com'),
('Karen Carter', '+1-209-649-1799', 'karen.carter799@example.com'),
('James Mitchell', '+1-209-650-1800', 'james.mitchell800@example.com'),
('Mary Mitchell', '+1-209-651-1801', 'mary.mitchell801@example.com'),
('John Mitchell', '+1-209-652-1802', 'john.mitchell802@example.com'),
('Patricia Mitchell', '+1-209-653-1803', 'patricia.mitchell803@example.com'),
('Robert Mitchell', '+1-209-654-1804', 'robert.mitchell804@example.com'),
('Jennifer Mitchell', '+1-209-555-1805', 'jennifer.mitchell805@example.com'),
('Michael Mitchell', '+1-209-556-1806', 'michael.mitchell806@example.com'),
('Linda Mitchell', '+1-209-557-1807', 'linda.mitchell807@example.com'),
('William Mitchell', '+1-209-558-1808', 'william.mitchell808@example.com'),
('Elizabeth Mitchell', '+1-209-559-1809', 'elizabeth.mitchell809@example.com'),
('David Mitchell', '+1-209-560-1810', 'david.mitchell810@example.com'),
('Barbara Mitchell', '+1-209-561-1811', 'barbara.mitchell811@example.com'),
('Richard Mitchell', '+1-209-562-1812', 'richard.mitchell812@example.com'),
('Susan Mitchell', '+1-209-563-1813', 'susan.mitchell813@example.com'),
('Joseph Mitchell', '+1-209-564-1814', 'joseph.mitchell814@example.com'),
('Jessica Mitchell', '+1-209-565-1815', 'jessica.mitchell815@example.com'),
('Thomas Mitchell', '+1-209-566-1816', 'thomas.mitchell816@example.com'),
('Sarah Mitchell', '+1-209-567-1817', 'sarah.mitchell817@example.com'),
('Charles Mitchell', '+1-209-568-1818', 'charles.mitchell818@example.com'),
('Karen Mitchell', '+1-209-569-1819', 'karen.mitchell819@example.com'),
('James Perez', '+1-209-570-1820', 'james.perez820@example.com'),
('Mary Perez', '+1-209-571-1821', 'mary.perez821@example.com'),
('John Perez', '+1-209-572-1822', 'john.perez822@example.com'),
('Patricia Perez', '+1-209-573-1823', 'patricia.perez823@example.com'),
('Robert Perez', '+1-209-574-1824', 'robert.perez824@example.com'),
('Jennifer Perez', '+1-209-575-1825', 'jennifer.perez825@example.com'),
('Michael Perez', '+1-209-576-1826', 'michael.perez826@example.com'),
('Linda Perez', '+1-209-577-1827', 'linda.perez827@example.com'),
('William Perez', '+1-209-578-1828', 'william.perez828@example.com'),
('Elizabeth Perez', '+1-209-579-1829', 'elizabeth.perez829@example.com'),
('David Perez', '+1-209-580-1830', 'david.perez830@example.com'),
('Barbara Perez', '+1-209-581-1831', 'barbara.perez831@example.com'),
('Richard Perez', '+1-209-582-1832', 'richard.perez832@example.com'),
('Susan Perez', '+1-209-583-1833', 'susan.perez833@example.com'),
('Joseph Perez', '+1-209-584-1834', 'joseph.perez834@example.com'),
('Jessica Perez', '+1-209-585-1835', 'jessica.perez835@example.com'),
('Thomas Perez', '+1-209-586-1836', 'thomas.perez836@example.com'),
('Sarah Perez', '+1-209-587-1837', 'sarah.perez837@example.com'),
('Charles Perez', '+1-209-588-1838', 'charles.perez838@example.com'),
('Karen Perez', '+1-209-589-1839', 'karen.perez839@example.com'),
('James Roberts', '+1-209-590-1840', 'james.roberts840@example.com'),
('Mary Roberts', '+1-209-591-1841', 'mary.roberts841@example.com'),
('John Roberts', '+1-209-592-1842', 'john.roberts842@example.com'),
('Patricia Roberts', '+1-209-593-1843', 'patricia.roberts843@example.com'),
('Robert Roberts', '+1-209-594-1844', 'robert.roberts844@example.com'),
('Jennifer Roberts', '+1-209-595-1845', 'jennifer.roberts845@example.com'),
('Michael Roberts', '+1-209-596-1846', 'michael.roberts846@example.com'),
('Linda Roberts', '+1-209-597-1847', 'linda.roberts847@example.com'),
('William Roberts', '+1-209-598-1848', 'william.roberts848@example.com'),
('Elizabeth Roberts', '+1-209-599-1849', 'elizabeth.roberts849@example.com'),
('David Roberts', '+1-209-600-1850', 'david.roberts850@example.com'),
('Barbara Roberts', '+1-209-601-1851', 'barbara.roberts851@example.com'),
('Richard Roberts', '+1-209-602-1852', 'richard.roberts852@example.com'),
('Susan Roberts', '+1-209-603-1853', 'susan.roberts853@example.com'),
('Joseph Roberts', '+1-209-604-1854', 'joseph.roberts854@example.com'),
('Jessica Roberts', '+1-209-605-1855', 'jessica.roberts855@example.com'),
('Thomas Roberts', '+1-209-606-1856', 'thomas.roberts856@example.com'),
('Sarah Roberts', '+1-209-607-1857', 'sarah.roberts857@example.com'),
('Charles Roberts', '+1-209-608-1858', 'charles.roberts858@example.com'),
('Karen Roberts', '+1-209-609-1859', 'karen.roberts859@example.com'),
('James Turner', '+1-209-610-1860', 'james.turner860@example.com'),
('Mary Turner', '+1-209-611-1861', 'mary.turner861@example.com'),
('John Turner', '+1-209-612-1862', 'john.turner862@example.com'),
('Patricia Turner', '+1-209-613-1863', 'patricia.turner863@example.com'),
('Robert Turner', '+1-209-614-1864', 'robert.turner864@example.com'),
('Jennifer Turner', '+1-209-615-1865', 'jennifer.turner865@example.com'),
('Michael Turner', '+1-209-616-1866', 'michael.turner866@example.com'),
('Linda Turner', '+1-209-617-1867', 'linda.turner867@example.com'),
('William Turner', '+1-209-618-1868', 'william.turner868@example.com'),
('Elizabeth Turner', '+1-209-619-1869', 'elizabeth.turner869@example.com'),
('David Turner', '+1-209-620-1870', 'david.turner870@example.com'),
('Barbara Turner', '+1-209-621-1871', 'barbara.turner871@example.com'),
('Richard Turner', '+1-209-622-1872', 'richard.turner872@example.com'),
('Susan Turner', '+1-209-623-1873', 'susan.turner873@example.com'),
('Joseph Turner', '+1-209-624-1874', 'joseph.turner874@example.com'),
('Jessica Turner', '+1-209-625-1875', 'jessica.turner875@example.com'),
('Thomas Turner', '+1-209-626-1876', 'thomas.turner876@example.com'),
('Sarah Turner', '+1-209-627-1877', 'sarah.turner877@example.com'),
('Charles Turner', '+1-209-628-1878', 'charles.turner878@example.com'),
('Karen Turner', '+1-209-629-1879', 'karen.turner879@example.com'),
('James Phillips', '+1-209-630-1880', 'james.phillips880@example.com'),
('Mary Phillips', '+1-209-631-1881', 'mary.phillips881@example.com'),
('John Phillips', '+1-209-632-1882', 'john.phillips882@example.com'),
('Patricia Phillips', '+1-209-633-1883', 'patricia.phillips883@example.com'),
('Robert Phillips', '+1-209-634-1884', 'robert.phillips884@example.com'),
('Jennifer Phillips', '+1-209-635-1885', 'jennifer.phillips885@example.com'),
('Michael Phillips', '+1-209-636-1886', 'michael.phillips886@example.com'),
('Linda Phillips', '+1-209-637-1887', 'linda.phillips887@example.com'),
('William Phillips', '+1-209-638-1888', 'william.phillips888@example.com'),
('Elizabeth Phillips', '+1-209-639-1889', 'elizabeth.phillips889@example.com'),
('David Phillips', '+1-209-640-1890', 'david.phillips890@example.com'),
('Barbara Phillips', '+1-209-641-1891', 'barbara.phillips891@example.com'),
('Richard Phillips', '+1-209-642-1892', 'richard.phillips892@example.com'),
('Susan Phillips', '+1-209-643-1893', 'susan.phillips893@example.com'),
('Joseph Phillips', '+1-209-644-1894', 'joseph.phillips894@example.com'),
('Jessica Phillips', '+1-209-645-1895', 'jessica.phillips895@example.com'),
('Thomas Phillips', '+1-209-646-1896', 'thomas.phillips896@example.com'),
('Sarah Phillips', '+1-209-647-1897', 'sarah.phillips897@example.com'),
('Charles Phillips', '+1-209-648-1898', 'charles.phillips898@example.com'),
('Karen Phillips', '+1-209-649-1899', 'karen.phillips899@example.com'),
('James Campbell', '+1-209-650-1900', 'james.campbell900@example.com'),
('Mary Campbell', '+1-209-651-1901', 'mary.campbell901@example.com'),
('John Campbell', '+1-209-652-1902', 'john.campbell902@example.com'),
('Patricia Campbell', '+1-209-653-1903', 'patricia.campbell903@example.com'),
('Robert Campbell', '+1-209-654-1904', 'robert.campbell904@example.com'),
('Jennifer Campbell', '+1-209-555-1905', 'jennifer.campbell905@example.com'),
('Michael Campbell', '+1-209-556-1906', 'michael.campbell906@example.com'),
('Linda Campbell', '+1-209-557-1907', 'linda.campbell907@example.com'),
('William Campbell', '+1-209-558-1908', 'william.campbell908@example.com'),
('Elizabeth Campbell', '+1-209-559-1909', 'elizabeth.campbell909@example.com'),
('David Campbell', '+1-209-560-1910', 'david.campbell910@example.com'),
('Barbara Campbell', '+1-209-561-1911', 'barbara.campbell911@example.com'),
('Richard Campbell', '+1-209-562-1912', 'richard.campbell912@example.com'),
('Susan Campbell', '+1-209-563-1913', 'susan.campbell913@example.com'),
('Joseph Campbell', '+1-209-564-1914', 'joseph.campbell914@example.com'),
('Jessica Campbell', '+1-209-565-1915', 'jessica.campbell915@example.com'),
('Thomas Campbell', '+1-209-566-1916', 'thomas.campbell916@example.com'),
('Sarah Campbell', '+1-209-567-1917', 'sarah.campbell917@example.com'),
('Charles Campbell', '+1-209-568-1918', 'charles.campbell918@example.com'),
('Karen Campbell', '+1-209-569-1919', 'karen.campbell919@example.com'),
('James Parker', '+1-209-570-1920', 'james.parker920@example.com'),
('Mary Parker', '+1-209-571-1921', 'mary.parker921@example.com'),
('John Parker', '+1-209-572-1922', 'john.parker922@example.com'),
('Patricia Parker', '+1-209-573-1923', 'patricia.parker923@example.com'),
('Robert Parker', '+1-209-574-1924', 'robert.parker924@example.com'),
('Jennifer Parker', '+1-209-575-1925', 'jennifer.parker925@example.com'),
('Michael Parker', '+1-209-576-1926', 'michael.parker926@example.com'),
('Linda Parker', '+1-209-577-1927', 'linda.parker927@example.com'),
('William Parker', '+1-209-578-1928', 'william.parker928@example.com'),
('Elizabeth Parker', '+1-209-579-1929', 'elizabeth.parker929@example.com'),
('David Parker', '+1-209-580-1930', 'david.parker930@example.com'),
('Barbara Parker', '+1-209-581-1931', 'barbara.parker931@example.com'),
('Richard Parker', '+1-209-582-1932', 'richard.parker932@example.com'),
('Susan Parker', '+1-209-583-1933', 'susan.parker933@example.com'),
('Joseph Parker', '+1-209-584-1934', 'joseph.parker934@example.com'),
('Jessica Parker', '+1-209-585-1935', 'jessica.parker935@example.com'),
('Thomas Parker', '+1-209-586-1936', 'thomas.parker936@example.com'),
('Sarah Parker', '+1-209-587-1937', 'sarah.parker937@example.com'),
('Charles Parker', '+1-209-588-1938', 'charles.parker938@example.com'),
('Karen Parker', '+1-209-589-1939', 'karen.parker939@example.com'),
('James Evans', '+1-209-590-1940', 'james.evans940@example.com'),
('Mary Evans', '+1-209-591-1941', 'mary.evans941@example.com'),
('John Evans', '+1-209-592-1942', 'john.evans942@example.com'),
('Patricia Evans', '+1-209-593-1943', 'patricia.evans943@example.com'),
('Robert Evans', '+1-209-594-1944', 'robert.evans944@example.com'),
('Jennifer Evans', '+1-209-595-1945', 'jennifer.evans945@example.com'),
('Michael Evans', '+1-209-596-1946', 'michael.evans946@example.com'),
('Linda Evans', '+1-209-597-1947', 'linda.evans947@example.com'),
('William Evans', '+1-209-598-1948', 'william.evans948@example.com'),
('Elizabeth Evans', '+1-209-599-1949', 'elizabeth.evans949@example.com'),
('David Evans', '+1-209-600-1950', 'david.evans950@example.com'),
('Barbara Evans', '+1-209-601-1951', 'barbara.evans951@example.com'),
('Richard Evans', '+1-209-602-1952', 'richard.evans952@example.com'),
('Susan Evans', '+1-209-603-1953', 'susan.evans953@example.com'),
('Joseph Evans', '+1-209-604-1954', 'joseph.evans954@example.com'),
('Jessica Evans', '+1-209-605-1955', 'jessica.evans955@example.com'),
('Thomas Evans', '+1-209-606-1956', 'thomas.evans956@example.com'),
('Sarah Evans', '+1-209-607-1957', 'sarah.evans957@example.com'),
('Charles Evans', '+1-209-608-1958', 'charles.evans958@example.com'),
('Karen Evans', '+1-209-609-1959', 'karen.evans959@example.com'),
('James Edwards', '+1-209-610-1960', 'james.edwards960@example.com'),
('Mary Edwards', '+1-209-611-1961', 'mary.edwards961@example.com'),
('John Edwards', '+1-209-612-1962', 'john.edwards962@example.com'),
('Patricia Edwards', '+1-209-613-1963', 'patricia.edwards963@example.com'),
('Robert Edwards', '+1-209-614-1964', 'robert.edwards964@example.com'),
('Jennifer Edwards', '+1-209-615-1965', 'jennifer.edwards965@example.com'),
('Michael Edwards', '+1-209-616-1966', 'michael.edwards966@example.com'),
('Linda Edwards', '+1-209-617-1967', 'linda.edwards967@example.com'),
('William Edwards', '+1-209-618-1968', 'william.edwards968@example.com'),
('Elizabeth Edwards', '+1-209-619-1969', 'elizabeth.edwards969@example.com'),
('David Edwards', '+1-209-620-1970', 'david.edwards970@example.com'),
('Barbara Edwards', '+1-209-621-1971', 'barbara.edwards971@example.com'),
('Richard Edwards', '+1-209-622-1972', 'richard.edwards972@example.com'),
('Susan Edwards', '+1-209-623-1973', 'susan.edwards973@example.com'),
('Joseph Edwards', '+1-209-624-1974', 'joseph.edwards974@example.com'),
('Jessica Edwards', '+1-209-625-1975', 'jessica.edwards975@example.com'),
('Thomas Edwards', '+1-209-626-1976', 'thomas.edwards976@example.com'),
('Sarah Edwards', '+1-209-627-1977', 'sarah.edwards977@example.com'),
('Charles Edwards', '+1-209-628-1978', 'charles.edwards978@example.com'),
('Karen Edwards', '+1-209-629-1979', 'karen.edwards979@example.com'),
('James Collins', '+1-209-630-1980', 'james.collins980@example.com'),
('Mary Collins', '+1-209-631-1981', 'mary.collins981@example.com'),
('John Collins', '+1-209-632-1982', 'john.collins982@example.com'),
('Patricia Collins', '+1-209-633-1983', 'patricia.collins983@example.com'),
('Robert Collins', '+1-209-634-1984', 'robert.collins984@example.com'),
('Jennifer Collins', '+1-209-635-1985', 'jennifer.collins985@example.com'),
('Michael Collins', '+1-209-636-1986', 'michael.collins986@example.com'),
('Linda Collins', '+1-209-637-1987', 'linda.collins987@example.com'),
('William Collins', '+1-209-638-1988', 'william.collins988@example.com'),
('Elizabeth Collins', '+1-209-639-1989', 'elizabeth.collins989@example.com'),
('David Collins', '+1-209-640-1990', 'david.collins990@example.com'),
('Barbara Collins', '+1-209-641-1991', 'barbara.collins991@example.com'),
('Richard Collins', '+1-209-642-1992', 'richard.collins992@example.com'),
('Susan Collins', '+1-209-643-1993', 'susan.collins993@example.com'),
('Joseph Collins', '+1-209-644-1994', 'joseph.collins994@example.com'),
('Jessica Collins', '+1-209-645-1995', 'jessica.collins995@example.com'),
('Thomas Collins', '+1-209-646-1996', 'thomas.collins996@example.com'),
('Sarah Collins', '+1-209-647-1997', 'sarah.collins997@example.com'),
('Charles Collins', '+1-209-648-1998', 'charles.collins998@example.com'),
('Karen Collins', '+1-209-649-1999', 'karen.collins999@example.com');
